username,recipe_id,rating
dade_gastelum,1,4
maureen_yeates,1,2
chad_nalls,1,1
crisiant_wingfield,1,5
wendell_cervantez,1,5
esteban_hoag,1,1
marvelle_massa,1,1
wickham_driggers,1,3
parry_izquierdo,1,1
ulima_fernandes,1,4
maureen_yeates,2,3
chad_nalls,2,4
wickham_driggers,2,4
ulima_fernandes,2,2
lacey_valenta,2,1
nadav_mcmullin,2,5
parry_izquierdo,2,5
yuri_hon,2,3
becse_massa,2,4
dade_gastelum,2,5
crisiant_wingfield,3,2
parry_izquierdo,3,1
lann_kugler,3,4
lacey_valenta,3,2
esteban_hoag,3,5
becse_massa,3,1
frank_hon,3,2
savanna_maddy,3,2
nadav_mcmullin,3,2
wendell_cervantez,3,4
esteban_hoag,4,5
ulima_fernandes,4,2
maureen_yeates,4,1
kesia_libby,4,1
nadav_mcmullin,4,1
wickham_driggers,4,5
yuri_hon,4,5
lacey_valenta,4,5
savanna_maddy,4,5
tabansi_cagle,4,5
yuri_hon,5,1
lacey_valenta,5,2
kesia_libby,5,4
becse_massa,5,1
maureen_yeates,5,2
marvelle_massa,5,3
wendell_cervantez,5,4
severin_hintz,5,1
frank_hon,5,4
ulima_fernandes,5,4
parry_izquierdo,6,4
lacey_valenta,6,5
dade_gastelum,6,3
marvelle_massa,6,5
wickham_driggers,6,5
savanna_maddy,6,4
crisiant_wingfield,6,5
chad_nalls,6,3
wendell_cervantez,6,2
tabansi_cagle,6,5
maureen_yeates,7,2
chad_nalls,7,5
wendell_cervantez,7,1
esteban_hoag,7,2
becse_massa,7,3
parry_izquierdo,7,1
severin_hintz,7,1
savanna_maddy,7,1
frank_hon,7,1
wickham_driggers,7,3
lacey_valenta,8,1
frank_hon,8,5
wickham_driggers,8,3
maureen_yeates,8,1
tabansi_cagle,8,3
severin_hintz,8,3
savanna_maddy,8,4
esteban_hoag,8,2
yuri_hon,8,4
wendell_cervantez,8,1
tabansi_cagle,9,4
marvelle_massa,9,1
maureen_yeates,9,4
parry_izquierdo,9,5
lann_kugler,9,3
lacey_valenta,9,1
savanna_maddy,9,2
nadav_mcmullin,9,4
kesia_libby,9,4
esteban_hoag,9,1
parry_izquierdo,10,2
chad_nalls,10,3
crisiant_wingfield,10,5
lann_kugler,10,4
severin_hintz,10,4
yuri_hon,10,4
frank_hon,10,1
maureen_yeates,10,5
dade_gastelum,10,4
lacey_valenta,10,4
lacey_valenta,11,2
esteban_hoag,11,4
chad_nalls,11,1
wickham_driggers,11,5
maureen_yeates,11,3
lann_kugler,11,5
