username,meal_id,meal_date,meal_type
lacey_valenta,1,2023-03-03,breakfast
lacey_valenta,2,2023-03-03,lunch
lacey_valenta,3,2023-03-03,dinner
wendell_cervantez,4,2023-03-03,breakfast
wendell_cervantez,5,2023-03-03,lunch
wendell_cervantez,6,2023-03-03,dinner
tabansi_cagle,7,2023-03-03,breakfast
tabansi_cagle,8,2023-03-03,lunch
tabansi_cagle,9,2023-03-03,dinner
maureen_yeates,10,2023-03-03,breakfast
maureen_yeates,11,2023-03-03,lunch
maureen_yeates,12,2023-03-03,dinner
marvelle_massa,13,2023-03-03,breakfast
marvelle_massa,14,2023-03-03,lunch
marvelle_massa,15,2023-03-03,dinner
becse_massa,16,2023-03-03,breakfast
becse_massa,17,2023-03-03,lunch
becse_massa,18,2023-03-03,dinner
esteban_hoag,19,2023-03-03,breakfast
esteban_hoag,20,2023-03-03,lunch
esteban_hoag,21,2023-03-03,dinner
chad_nalls,22,2023-03-03,breakfast
chad_nalls,23,2023-03-03,lunch
chad_nalls,24,2023-03-03,dinner
yuri_hon,25,2023-03-03,breakfast
yuri_hon,26,2023-03-03,lunch
yuri_hon,27,2023-03-03,dinner
dade_gastelum,28,2023-03-03,breakfast
dade_gastelum,29,2023-03-03,lunch
dade_gastelum,30,2023-03-03,dinner
lacey_valenta,31,2023-03-04,breakfast
lacey_valenta,32,2023-03-04,lunch
lacey_valenta,33,2023-03-04,dinner
wendell_cervantez,34,2023-03-04,breakfast
wendell_cervantez,35,2023-03-04,lunch
wendell_cervantez,36,2023-03-04,dinner
tabansi_cagle,37,2023-03-04,breakfast
tabansi_cagle,38,2023-03-04,lunch
tabansi_cagle,39,2023-03-04,dinner
maureen_yeates,40,2023-03-04,breakfast
maureen_yeates,41,2023-03-04,lunch
maureen_yeates,42,2023-03-04,dinner
marvelle_massa,43,2023-03-04,breakfast
marvelle_massa,44,2023-03-04,lunch
marvelle_massa,45,2023-03-04,dinner
becse_massa,46,2023-03-04,breakfast
becse_massa,47,2023-03-04,lunch
becse_massa,48,2023-03-04,dinner
esteban_hoag,49,2023-03-04,breakfast
esteban_hoag,50,2023-03-04,lunch
esteban_hoag,51,2023-03-04,dinner
chad_nalls,52,2023-03-04,breakfast
chad_nalls,53,2023-03-04,lunch
chad_nalls,54,2023-03-04,dinner
yuri_hon,55,2023-03-04,breakfast
yuri_hon,56,2023-03-04,lunch
yuri_hon,57,2023-03-04,dinner
dade_gastelum,58,2023-03-04,breakfast
dade_gastelum,59,2023-03-04,lunch
dade_gastelum,60,2023-03-04,dinner
lacey_valenta,61,2023-03-05,breakfast
lacey_valenta,62,2023-03-05,lunch
lacey_valenta,63,2023-03-05,dinner
wendell_cervantez,64,2023-03-05,breakfast
wendell_cervantez,65,2023-03-05,lunch
wendell_cervantez,66,2023-03-05,dinner
tabansi_cagle,67,2023-03-05,breakfast
tabansi_cagle,68,2023-03-05,lunch
tabansi_cagle,69,2023-03-05,dinner
maureen_yeates,70,2023-03-05,breakfast
maureen_yeates,71,2023-03-05,lunch
maureen_yeates,72,2023-03-05,dinner
marvelle_massa,73,2023-03-05,breakfast
marvelle_massa,74,2023-03-05,lunch
marvelle_massa,75,2023-03-05,dinner
becse_massa,76,2023-03-05,breakfast
becse_massa,77,2023-03-05,lunch
becse_massa,78,2023-03-05,dinner
esteban_hoag,79,2023-03-05,breakfast
esteban_hoag,80,2023-03-05,lunch
esteban_hoag,81,2023-03-05,dinner
chad_nalls,82,2023-03-05,breakfast
chad_nalls,83,2023-03-05,lunch
chad_nalls,84,2023-03-05,dinner
yuri_hon,85,2023-03-05,breakfast
yuri_hon,86,2023-03-05,lunch
yuri_hon,87,2023-03-05,dinner
dade_gastelum,88,2023-03-05,breakfast
dade_gastelum,89,2023-03-05,lunch
dade_gastelum,90,2023-03-05,dinner
lacey_valenta,91,2023-03-06,breakfast
